Ticker,AAL,AAL,AAL,AAL,AAL,TSLA,TSLA,TSLA,TSLA,TSLA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,11.680000305175781,11.930000305175781,11.5,11.859999656677246,43362700,336.29998779296875,343.0,333.3699951171875,342.0899963378906,88869900
2025-05-20,11.829999923706055,11.960000038146973,11.569999694824219,11.649999618530273,44004700,347.8699951171875,354.989990234375,341.6300048828125,343.82000732421875,131715500
2025-05-21,11.460000038146973,11.5600004196167,11.1899995803833,11.239999771118164,59079100,344.42999267578125,347.3500061035156,332.20001220703125,334.6199951171875,102354800
2025-05-22,11.239999771118164,11.5600004196167,11.180000305175781,11.399999618530273,50411200,331.8999938964844,347.2699890136719,331.3900146484375,341.0400085449219,97113400
2025-05-23,11.0600004196167,11.279999732971191,11.020000457763672,11.1899995803833,46775800,337.9200134277344,343.17999267578125,333.2099914550781,339.3399963378906,84654800
2025-05-27,11.399999618530273,11.800000190734863,11.369999885559082,11.640000343322754,69634200,347.3500061035156,363.7900085449219,347.32000732421875,362.8900146484375,120146400
2025-05-28,11.699999809265137,11.739999771118164,11.390000343322754,11.430000305175781,61811800,364.8399963378906,365.0,355.9100036621094,356.8999938964844,91404300
2025-05-29,11.640000343322754,11.670000076293945,11.3100004196167,11.399999618530273,61339500,365.2900085449219,367.7099914550781,356.0,358.42999267578125,88545700
2025-05-30,11.300000190734863,11.470000267028809,11.1899995803833,11.40999984741211,62937800,355.5199890136719,363.67999267578125,345.2900085449219,346.4599914550781,123474900
2025-06-02,11.300000190734863,11.390000343322754,11.029999732971191,11.380000114440918,49599200,343.5,348.0199890136719,333.3299865722656,342.69000244140625,81873800
2025-06-03,11.329999923706055,11.529999732971191,11.210000038146973,11.470000267028809,46029200,346.6000061035156,355.3999938964844,343.0400085449219,344.2699890136719,99324500
2025-06-04,11.520000457763672,11.579999923706055,11.319999694824219,11.420000076293945,43233700,345.1000061035156,345.6000061035156,327.3299865722656,332.04998779296875,98912100
2025-06-05,11.34000015258789,11.510000228881836,11.220000267028809,11.270000457763672,50665800,322.489990234375,324.54998779296875,273.2099914550781,284.70001220703125,287499800
2025-06-06,11.479999542236328,11.800000190734863,11.420000076293945,11.779999732971191,49800000,298.8299865722656,305.5,291.1400146484375,295.1400146484375,164747700
2025-06-09,11.890000343322754,11.949999809265137,11.739999771118164,11.760000228881836,40469700,285.9599914550781,309.8299865722656,281.8500061035156,308.5799865722656,140908900
2025-06-10,11.8100004196167,11.970000267028809,11.680000305175781,11.84000015258789,41825100,314.94000244140625,327.8299865722656,310.6700134277344,326.0899963378906,151256500
2025-06-11,11.949999809265137,11.949999809265137,10.989999771118164,11.0600004196167,72896700,334.3999938964844,335.5,322.5,326.42999267578125,122611400
2025-06-12,10.880000114440918,10.960000038146973,10.680000305175781,10.899999618530273,54941200,323.0799865722656,332.55999755859375,316.8599853515625,319.1099853515625,105127500
2025-06-13,10.319999694824219,10.649999618530273,10.300000190734863,10.369999885559082,72781100,313.9700012207031,332.989990234375,313.29998779296875,325.30999755859375,128964300
2025-06-16,10.579999923706055,10.930000305175781,10.449999809265137,10.899999618530273,59213700,331.2900085449219,332.04998779296875,326.4100036621094,329.1300048828125,82965200
