Ticker,AAM,AAM,AAM,AAM,AAM,AAL,AAL,AAL,AAL,AAL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,10.359999656677246,10.359999656677246,10.350000381469727,10.350000381469727,10700,11.680000305175781,11.930000305175781,11.5,11.859999656677246,43362700
2025-05-20,10.350000381469727,10.350000381469727,10.350000381469727,10.350000381469727,31700,11.829999923706055,11.960000038146973,11.569999694824219,11.649999618530273,44004700
2025-05-21,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,10800,11.460000038146973,11.5600004196167,11.1899995803833,11.239999771118164,59079100
2025-05-22,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,1200,11.239999771118164,11.5600004196167,11.180000305175781,11.399999618530273,50411200
2025-05-23,10.350000381469727,10.350000381469727,10.350000381469727,10.350000381469727,100100,11.0600004196167,11.279999732971191,11.020000457763672,11.1899995803833,46775800
2025-05-27,10.329999923706055,10.36299991607666,10.329999923706055,10.350000381469727,2100,11.399999618530273,11.800000190734863,11.369999885559082,11.640000343322754,69634200
2025-05-28,10.420000076293945,10.420000076293945,10.420000076293945,10.420000076293945,100,11.699999809265137,11.739999771118164,11.390000343322754,11.430000305175781,61811800
2025-05-29,10.361000061035156,10.399999618530273,10.361000061035156,10.399999618530273,251000,11.640000343322754,11.670000076293945,11.3100004196167,11.399999618530273,61339500
2025-05-30,10.319999694824219,10.380000114440918,10.319999694824219,10.369999885559082,92600,11.300000190734863,11.470000267028809,11.1899995803833,11.40999984741211,62937800
2025-06-02,10.319999694824219,10.789999961853027,10.319999694824219,10.390000343322754,3400,11.300000190734863,11.390000343322754,11.029999732971191,11.380000114440918,49599200
2025-06-03,10.399999618530273,10.399999618530273,10.364999771118164,10.380000114440918,11100,11.329999923706055,11.529999732971191,11.210000038146973,11.470000267028809,46029200
2025-06-04,10.380000114440918,10.380000114440918,10.380000114440918,10.380000114440918,0,11.520000457763672,11.579999923706055,11.319999694824219,11.420000076293945,43233700
2025-06-05,10.390000343322754,10.390000343322754,10.390000343322754,10.390000343322754,28800,11.34000015258789,11.510000228881836,11.220000267028809,11.270000457763672,50665800
2025-06-06,10.390000343322754,10.399999618530273,10.390000343322754,10.399999618530273,20700,11.479999542236328,11.800000190734863,11.420000076293945,11.779999732971191,49800000
2025-06-09,10.40999984741211,10.40999984741211,10.40999984741211,10.40999984741211,300,11.890000343322754,11.949999809265137,11.739999771118164,11.760000228881836,40469700
2025-06-10,10.449999809265137,10.449999809265137,10.404999732971191,10.404999732971191,600,11.8100004196167,11.970000267028809,11.680000305175781,11.84000015258789,41825100
2025-06-11,10.430000305175781,10.430000305175781,10.399999618530273,10.399999618530273,700,11.949999809265137,11.949999809265137,10.989999771118164,11.0600004196167,72896700
2025-06-12,10.380000114440918,10.39900016784668,10.380000114440918,10.39900016784668,1100,10.880000114440918,10.960000038146973,10.680000305175781,10.899999618530273,54941200
2025-06-13,10.39799976348877,10.39799976348877,10.39799976348877,10.39799976348877,1000,10.319999694824219,10.649999618530273,10.300000190734863,10.369999885559082,72781100
2025-06-16,10.420000076293945,10.420000076293945,10.399999618530273,10.40999984741211,126200,10.579999923706055,10.930000305175781,10.449999809265137,10.899999618530273,59213700
