Ticker,AAUC,AAUC,AAUC,AAUC,AAUC,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,12.0,12.270000457763672,11.625,11.850000381469727,1433,207.91000366210938,209.47999572753906,204.25999450683594,208.77999877929688,46140500
2025-05-20,12.0600004196167,12.62399959564209,12.029999732971191,12.600000381469727,38633,207.6699981689453,208.47000122070312,205.02999877929688,206.86000061035156,42496600
2025-05-21,12.8100004196167,12.932999610900879,12.680999755859375,12.779999732971191,196667,205.1699981689453,207.0399932861328,200.7100067138672,202.08999633789062,59211800
2025-05-22,13.0,13.0,13.0,13.0,196200,200.7100067138672,202.75,199.6999969482422,201.36000061035156,46742400
2025-05-23,13.027999877929688,14.0,13.010000228881836,13.869999885559082,19200,193.6699981689453,197.6999969482422,193.4600067138672,195.27000427246094,78432900
2025-05-27,13.482999801635742,13.720000267028809,13.470000267028809,13.555999755859375,39200,198.3000030517578,200.74000549316406,197.42999267578125,200.2100067138672,56288500
2025-05-28,13.567000389099121,13.800000190734863,13.489999771118164,13.770000457763672,25700,200.58999633789062,202.72999572753906,199.89999389648438,200.4199981689453,45339700
2025-05-29,13.800000190734863,13.800000190734863,13.5600004196167,13.5600004196167,51600,203.5800018310547,203.80999755859375,198.50999450683594,199.9499969482422,51396800
2025-05-30,13.720000267028809,14.3100004196167,13.609999656677246,14.3100004196167,196600,199.3699951171875,201.9600067138672,196.77999877929688,200.85000610351562,70819900
2025-06-02,15.0600004196167,15.170000076293945,14.609999656677246,14.760000228881836,34200,200.27999877929688,202.1300048828125,200.1199951171875,201.6999969482422,35423300
2025-06-03,14.84000015258789,15.130000114440918,14.84000015258789,15.130000114440918,9500,201.35000610351562,203.77000427246094,200.9600067138672,203.27000427246094,46381600
2025-06-04,15.208000183105469,15.529999732971191,15.208000183105469,15.5,23400,202.91000366210938,206.24000549316406,202.10000610351562,202.82000732421875,43604000
2025-06-05,15.670000076293945,15.670000076293945,15.15999984741211,15.616000175476074,30300,203.5,204.75,200.14999389648438,200.6300048828125,55126100
2025-06-06,15.600000381469727,15.619999885559082,14.899999618530273,14.90999984741211,50600,203.0,205.6999969482422,202.0500030517578,203.9199981689453,46607700
2025-06-09,14.984999656677246,15.210000038146973,14.90999984741211,15.08899974822998,131200,204.38999938964844,206.0,200.02000427246094,201.4499969482422,72862600
2025-06-10,15.180000305175781,15.260000228881836,14.539999961853027,14.600000381469727,39600,200.60000610351562,204.35000610351562,200.57000732421875,202.6699981689453,54672600
2025-06-11,14.760000228881836,14.819999694824219,14.220000267028809,14.260000228881836,77700,203.5,204.5,198.41000366210938,198.77999877929688,60989900
2025-06-12,14.390000343322754,14.979999542236328,14.390000343322754,14.800000190734863,112100,199.0800018310547,199.67999267578125,197.36000061035156,199.1999969482422,43904600
2025-06-13,14.800000190734863,15.420000076293945,14.670000076293945,15.350000381469727,76100,199.72999572753906,200.3699951171875,195.6999969482422,196.4499969482422,51447300
2025-06-16,15.550000190734863,15.78499984741211,15.0,15.029999732971191,90400,197.3000030517578,198.69000244140625,196.55999755859375,198.4199981689453,42886800
