Ticker,SPY,SPY,SPY,SPY,SPY,KO,KO,KO,KO,KO,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-05-19,588.0999755859375,595.5399780273438,588.0999755859375,594.8499755859375,68168500,71.52148030856249,71.66049132841037,71.13423424248163,71.42218780517578,13282800,207.91000366210938,209.47999572753906,204.25999450683594,208.77999877929688,46140500
2025-05-20,593.0900268554688,594.0499877929688,589.5999755859375,592.8499755859375,60614500,71.29310769243372,71.62077219322597,70.92571709999108,71.18388366699219,12137800,207.6699981689453,208.47000122070312,205.02999877929688,206.86000061035156,42496600
2025-05-21,588.4400024414062,592.5800170898438,581.8200073242188,582.8599853515625,95197700,71.1838840595006,71.57113012437136,71.0746600334568,71.3427505493164,12094400,205.1699981689453,207.0399932861328,200.7100067138672,202.08999633789062,59211800
2025-05-22,582.6599731445312,586.6199951171875,581.4099731445312,583.0900268554688,70860400,71.33281907458824,71.48176161706982,70.45903444117937,70.63776397705078,11101800,200.7100067138672,202.75,199.6999969482422,201.36000061035156,46742400
2025-05-23,575.97998046875,581.8099975585938,575.5999755859375,579.1099853515625,76029000,71.0349412946497,71.4718373974566,70.19094365784468,71.26331329345703,12822100,193.6699981689453,197.6999969482422,193.4600067138672,195.27000427246094,78432900
2025-05-27,586.0700073242188,591.3099975585938,578.4299926757812,591.1500244140625,72588500,71.23352824783808,71.71014287988916,71.0547987077605,71.27324676513672,10666100,198.3000030517578,200.74000549316406,197.42999267578125,200.2100067138672,56288500
2025-05-28,591.5599975585938,592.77001953125,586.989990234375,587.72998046875,68445500,71.19381001885002,71.39240260614744,70.54840494284807,70.64769744873047,8710900,200.58999633789062,202.72999572753906,199.89999389648438,200.4199981689453,45339700
2025-05-29,593.0599975585938,593.2000122070312,586.0700073242188,590.0499877929688,69973300,70.49875196591115,71.15409611339906,69.96256336583893,70.98529052734375,10291100,203.5800018310547,203.80999755859375,198.50999450683594,199.9499969482422,51396800
2025-05-30,588.9299926757812,591.1300048828125,583.239990234375,589.3900146484375,90601200,71.10444957380456,71.95837876680815,71.10444957380456,71.59098815917969,28019500,199.3699951171875,201.9600067138672,196.77999877929688,200.85000610351562,70819900
2025-06-02,587.760009765625,592.7899780273438,585.0599975585938,592.7100219726562,61630500,71.5214785820992,71.53141010485787,70.85621049238155,71.49169158935547,10202700,200.27999877929688,202.1300048828125,200.1199951171875,201.6999969482422,35423300
2025-06-03,592.3400268554688,597.0800170898438,591.8499755859375,596.0900268554688,63606200,71.20374350558913,71.27324901917675,69.97249973252315,70.65763092041016,20139800,201.35000610351562,203.77000427246094,200.9600067138672,203.27000427246094,46381600
2025-06-04,596.9600219726562,597.9500122070312,595.489990234375,595.9299926757812,57314200,70.75691824880333,71.34274930964742,70.18101113522177,70.86614227294922,13565900,202.91000366210938,206.24000549316406,202.10000610351562,202.82000732421875,43604000
2025-06-05,597.6300048828125,599.0,591.0499877929688,593.0499877929688,92278700,70.87606884171126,70.95550587594319,70.32995627631495,70.40939331054688,13531400,203.5,204.75,200.14999389648438,200.6300048828125,55126100
2025-06-06,598.6599731445312,600.8300170898438,596.8599853515625,599.1400146484375,66588700,70.57819243366227,70.97537003551913,70.43918140934227,70.84628295898438,9524000,203.0,205.6999969482422,202.0500030517578,203.9199981689453,46607700
2025-06-09,599.719970703125,601.25,598.489990234375,599.6799926757812,53016400,70.84628023652265,71.3228948555422,70.58811366890654,71.26331329345703,12281300,204.38999938964844,206.0,200.02000427246094,201.4499969482422,72862600
2025-06-10,600.219970703125,603.469970703125,599.0900268554688,603.0800170898438,66247000,71.39239810359122,72.17682172899586,71.25338708901643,71.83921813964844,12265000,200.60000610351562,204.35000610351562,200.57000732421875,202.6699981689453,54672600
2025-06-11,604.1900024414062,605.0599975585938,599.27001953125,601.3599853515625,73658200,71.75978037073057,71.84914892234093,71.25338635522264,71.56119537353516,12718500,203.5,204.5,198.41000366210938,198.77999877929688,60989900
2025-06-12,600.010009765625,603.75,599.52001953125,603.75,64129000,71.73992725038366,71.88886979092345,71.09451462506614,71.72999572753906,12806900,199.0800018310547,199.67999267578125,197.36000061035156,199.1999969482422,43904600
2025-06-13,598.5,601.8499755859375,595.47998046875,597.0,89506000,71.7699966430664,71.87999725341797,70.7300033569336,71.0199966430664,17467200,199.72999572753906,200.3699951171875,195.6999969482422,196.4499969482422,51447300
2025-06-16,600.4000244140625,604.4500122070312,600.219970703125,602.6799926757812,79984100,71.19999694824219,71.62000274658203,70.23999786376953,70.5199966430664,15045900,197.3000030517578,198.69000244140625,196.55999755859375,198.4199981689453,43020700
2025-06-17,600.2100219726562,601.75,596.760009765625,597.530029296875,81371033,70.37999725341797,70.45999908447266,69.58000183105469,69.62000274658203,12256315,197.1999969482422,198.38890075683594,195.2100067138672,195.63999938964844,38772936
