Ticker,AP,AP,AP,AP,AP,AAT,AAT,AAT,AAT,AAT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,2.9600000381469727,3.140000104904175,2.819999933242798,3.140000104904175,177400,19.388735002617345,19.831176475609695,19.369072395724093,19.811511993408203,347100
2025-05-20,3.0999999046325684,3.430000066757202,2.940000057220459,2.9700000286102295,183500,19.683696601674303,19.762352655139896,19.496887771452926,19.536216735839844,420400
2025-05-21,2.9600000381469727,3.059999942779541,2.700000047683716,2.7200000286102295,73400,19.310079003078066,19.38873505679558,18.946295457875156,18.995454788208008,296900
2025-05-22,2.7799999713897705,3.049999952316284,2.7200000286102295,3.0,35100,18.92662986682213,18.946294347926546,18.661164997836906,18.779150009155273,277000
2025-05-23,3.0,3.0899999141693115,2.930000066757202,2.9700000286102295,31600,18.641499811828858,18.857805345181866,18.52351668028,18.72998809814453,309400
2025-05-27,3.059999942779541,3.109999895095825,2.8499999046325684,3.0199999809265137,80200,18.98562207426455,19.575543400108714,18.906966022505877,19.5067195892334,327000
2025-05-28,3.0,3.0799999237060547,2.9100000858306885,3.0,43600,19.536216037522124,19.67386365733967,19.37890206090585,19.62470245361328,464400
2025-05-29,3.059999942779541,3.130000114440918,2.990000009536743,3.009999990463257,36200,19.654199886412755,20.03764791280063,19.634535404211263,19.811511993408203,569200
2025-05-30,3.0399999618530273,3.0799999237060547,2.940000057220459,3.009999990463257,57700,19.752519455233234,19.772183936472157,19.437895256643078,19.605039596557617,667800
2025-06-02,3.069999933242798,3.5899999141693115,3.0399999618530273,3.4700000286102295,263300,19.51655118830378,19.890166953043867,19.22158959742758,19.870502471923828,504600
2025-06-03,3.9200000762939453,3.990000009536743,3.430000066757202,3.509999990463257,288600,19.77218380535669,19.958990749963228,19.49688669576181,19.73285484313965,772600
2025-06-04,3.549999952316284,3.7899999618530273,3.4200000762939453,3.5999999046325684,184600,19.68369594751549,19.91966410007021,19.68369594751549,19.899999618530273,423600
2025-06-05,3.559999942779541,3.6500000953674316,3.4700000286102295,3.569999933242798,44500,19.8700008392334,19.920000076293945,19.6299991607666,19.6299991607666,505200
2025-06-06,3.549999952316284,3.7200000286102295,3.549999952316284,3.700000047683716,66400,19.81999969482422,20.229999542236328,19.770000457763672,20.15999984741211,420900
2025-06-09,3.75,3.75,3.2200000286102295,3.4200000762939453,177100,20.290000915527344,20.450000762939453,20.1200008392334,20.190000534057617,308500
2025-06-10,3.430000066757202,3.4600000381469727,3.2200000286102295,3.259999990463257,78000,20.34000015258789,20.709999084472656,20.170000076293945,20.389999389648438,278700
2025-06-11,3.200000047683716,3.309999942779541,3.059999942779541,3.109999895095825,85400,20.520000457763672,20.649999618530273,20.229999542236328,20.31999969482422,304200
2025-06-12,3.180000066757202,3.2300000190734863,3.130000114440918,3.200000047683716,81300,20.079999923706055,20.489999771118164,20.079999923706055,20.489999771118164,283600
2025-06-13,3.2100000381469727,3.240000009536743,3.059999942779541,3.059999942779541,34000,20.260000228881836,20.389999389648438,19.989999771118164,20.190000534057617,295700
2025-06-16,3.059999942779541,3.2799999713897705,3.059999942779541,3.2200000286102295,67500,20.299999237060547,20.56999969482422,20.15999984741211,20.399999618530273,373100
