Ticker,AA,AA,AA,AA,AA,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,28.532650950892112,29.628911092364064,28.532650950892112,29.309999465942383,6323900,450.8800048828125,459.5899963378906,450.79998779296875,458.8699951171875,21336500
2025-05-20,29.25,29.450000762939453,28.479999542236328,28.790000915527344,4362800,455.5899963378906,458.3399963378906,454.32000732421875,458.1700134277344,15441800
2025-05-21,28.479999542236328,29.420000076293945,28.239999771118164,28.270000457763672,6272400,454.57000732421875,457.7799987792969,451.80999755859375,452.57000732421875,19216900
2025-05-22,28.059999465942383,28.354999542236328,27.530000686645508,27.979999542236328,4815200,454.95001220703125,460.25,453.8999938964844,454.8599853515625,18025600
2025-05-23,27.329999923706055,28.809999465942383,27.260000228881836,28.06999969482422,5297600,449.9800109863281,453.69000244140625,448.9100036621094,450.17999267578125,16883500
2025-05-27,28.25,28.5,28.0,28.25,4742300,456.4800109863281,460.95001220703125,456.1199951171875,460.69000244140625,20974300
2025-05-28,28.260000228881836,28.280000686645508,27.607999801635742,27.8799991607666,4859000,461.2200012207031,462.5199890136719,456.92999267578125,457.3599853515625,17086300
2025-05-29,28.43000030517578,28.43000030517578,27.415000915527344,27.6299991607666,3182100,461.54998779296875,461.7200012207031,455.30999755859375,458.67999267578125,13974800
2025-05-30,27.309999465942383,27.547000885009766,26.540000915527344,26.770000457763672,5724400,459.7200012207031,461.67999267578125,455.5400085449219,460.3599853515625,34770500
2025-06-02,26.149999618530273,26.969999313354492,25.829999923706055,26.600000381469727,11089100,457.1400146484375,462.1099853515625,456.8900146484375,461.9700012207031,16626500
2025-06-03,26.639999389648438,27.885000228881836,25.940000534057617,27.65999984741211,9010200,461.4700012207031,464.1400146484375,460.8599853515625,462.9700012207031,15743800
2025-06-04,27.90999984741211,27.920000076293945,27.309999465942383,27.3700008392334,4693700,464.0,465.69000244140625,463.0199890136719,463.8699951171875,14162700
2025-06-05,27.799999237060547,28.40999984741211,27.65999984741211,27.8700008392334,5945700,464.9599914550781,469.6499938964844,464.0299987792969,467.67999267578125,20131700
2025-06-06,28.200000762939453,28.469999313354492,27.780000686645508,28.010000228881836,3699500,470.0899963378906,473.3399963378906,468.7799987792969,470.3800048828125,15285600
2025-06-09,28.440000534057617,29.020000457763672,28.219999313354492,28.559999465942383,6632800,469.70001220703125,473.42999267578125,468.6199951171875,472.75,16469900
2025-06-10,28.690000534057617,29.420000076293945,28.475000381469727,28.760000228881836,5709500,471.19000244140625,472.79998779296875,466.9599914550781,470.9200134277344,15375900
2025-06-11,29.299999237060547,30.020000457763672,28.58799934387207,28.739999771118164,8174600,470.0199890136719,475.4700012207031,469.6600036621094,472.6199951171875,16399200
2025-06-12,28.020000457763672,28.89299964904785,27.979999542236328,28.860000610351562,4319700,475.0199890136719,480.4200134277344,473.5199890136719,478.8699951171875,18950600
2025-06-13,28.06999969482422,28.639999389648438,28.0,28.350000381469727,3202500,476.4100036621094,479.17999267578125,472.760009765625,474.9599914550781,16814500
2025-06-16,28.729999542236328,29.149999618530273,28.530000686645508,29.010000228881836,5196200,475.2099914550781,480.69000244140625,475.0,479.1400146484375,15580000
