Ticker,ACI,ACI,ACI,ACI,ACI,ACIC,ACIC,ACIC,ACIC,ACIC
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,22.149999618530273,22.149999618530273,21.799999237060547,21.84000015258789,4179400,10.960000038146973,11.0600004196167,10.569999694824219,10.720000267028809,222200
2025-05-20,21.940000534057617,22.15999984741211,21.780000686645508,21.979999542236328,3022900,10.819999694824219,11.260000228881836,10.649999618530273,11.180000305175781,361800
2025-05-21,21.780000686645508,22.059999465942383,21.780000686645508,22.040000915527344,3449700,11.0600004196167,11.149999618530273,10.899999618530273,11.029999732971191,221400
2025-05-22,22.09000015258789,22.114999771118164,21.639999389648438,21.829999923706055,2878700,10.930000305175781,11.0600004196167,10.930000305175781,10.970000267028809,258500
2025-05-23,21.899999618530273,22.170000076293945,21.75,22.100000381469727,2334800,10.6899995803833,10.899999618530273,10.6899995803833,10.850000381469727,131300
2025-05-27,22.139999389648438,22.295000076293945,21.924999237060547,22.200000762939453,4935000,10.949999809265137,10.970000267028809,10.789999961853027,10.819999694824219,100400
2025-05-28,22.31999969482422,22.31999969482422,22.049999237060547,22.149999618530273,2848700,10.789999961853027,10.829999923706055,10.680000305175781,10.760000228881836,248800
2025-05-29,22.06999969482422,22.219999313354492,21.81999969482422,22.15999984741211,2930600,10.789999961853027,10.9399995803833,10.699999809265137,10.84000015258789,279500
2025-05-30,22.149999618530273,22.40999984741211,22.06999969482422,22.229999542236328,6023000,10.819999694824219,10.850000381469727,10.720000267028809,10.800000190734863,269400
2025-06-02,22.170000076293945,22.360000610351562,21.899999618530273,22.020000457763672,4968100,10.760000228881836,11.329999923706055,10.75,11.279999732971191,634900
2025-06-03,21.899999618530273,22.0,21.3700008392334,21.579999923706055,5102600,11.3100004196167,12.010000228881836,11.3100004196167,11.960000038146973,623600
2025-06-04,21.6299991607666,21.69499969482422,21.3799991607666,21.399999618530273,3345100,11.920000076293945,11.920000076293945,11.550000190734863,11.75,315400
2025-06-05,21.450000762939453,21.700000762939453,21.389999389648438,21.56999969482422,3974400,11.029999732971191,11.420000076293945,10.829999923706055,10.960000038146973,552600
2025-06-06,21.530000686645508,21.530000686645508,21.299999237060547,21.43000030517578,2886200,11.029999732971191,11.170000076293945,10.720000267028809,10.920000076293945,344800
2025-06-09,21.469999313354492,21.520000457763672,20.989999771118164,21.219999313354492,4553100,10.920000076293945,10.949999809265137,10.680000305175781,10.920000076293945,356100
2025-06-10,21.270000457763672,21.40999984741211,21.020000457763672,21.209999084472656,4135100,10.819999694824219,10.890000343322754,10.630000114440918,10.739999771118164,365100
2025-06-11,21.209999084472656,21.280000686645508,20.959999084472656,21.270000457763672,4923300,10.819999694824219,10.819999694824219,10.640000343322754,10.65999984741211,204500
2025-06-12,21.270000457763672,21.469999313354492,21.084999084472656,21.399999618530273,3726600,10.619999885559082,10.739999771118164,10.600000381469727,10.649999618530273,177400
2025-06-13,21.3799991607666,21.424999237060547,21.110000610351562,21.219999313354492,3686000,10.6899995803833,10.6899995803833,10.390000343322754,10.430000305175781,188600
2025-06-16,21.290000915527344,21.559999465942383,21.2549991607666,21.520000457763672,8727100,10.460000038146973,10.510000228881836,10.380000114440918,10.479999542236328,220300
