Ticker,ALV,ALV,ALV,ALV,ALV,ALX,ALX,ALX,ALX,ALX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,100.76000213623047,102.13999938964844,100.70999908447266,101.98999786376953,399400,220.0,221.9600067138672,216.8000030517578,220.94000244140625,35500
2025-05-20,102.0,102.83000183105469,101.41000366210938,101.9800033569336,293500,220.0,221.72999572753906,215.00999450683594,218.1199951171875,26100
2025-05-21,101.08999633789062,101.70999908447266,100.30999755859375,100.54000091552734,517500,216.10000610351562,218.8000030517578,216.0,218.16000366210938,28700
2025-05-22,100.16000366210938,101.25,99.69000244140625,100.62000274658203,444500,218.10000610351562,218.10000610351562,215.6199951171875,216.0399932861328,18200
2025-05-23,98.80999755859375,101.04000091552734,98.44999694824219,100.79000091552734,587900,215.00999450683594,216.8300018310547,211.0500030517578,213.97000122070312,29700
2025-05-27,102.44000244140625,104.16999816894531,102.33000183105469,104.02999877929688,644900,217.0,219.1300048828125,214.14999389648438,218.35000610351562,19300
2025-05-28,104.72000122070312,105.5999984741211,104.3499984741211,104.6500015258789,685900,217.39999389648438,221.25999450683594,215.7100067138672,220.36000061035156,34600
2025-05-29,105.44999694824219,105.52999877929688,104.06999969482422,104.6500015258789,421600,222.5,224.77999877929688,221.27999877929688,224.30999755859375,42900
2025-05-30,102.75,103.58999633789062,101.95999908447266,102.81999969482422,690700,224.13999938964844,225.27999877929688,221.16000366210938,225.19000244140625,59200
2025-06-02,102.04000091552734,102.06999969482422,100.75,101.30999755859375,491600,225.0,229.52000427246094,222.0,228.89999389648438,45700
2025-06-03,101.12000274658203,103.19000244140625,100.98999786376953,102.68000030517578,544200,228.32000732421875,231.5,227.39999389648438,230.1199951171875,41100
2025-06-04,106.01000213623047,106.05999755859375,101.66999816894531,103.41000366210938,1207200,230.25999450683594,232.24000549316406,228.49000549316406,230.52999877929688,39500
2025-06-05,104.31999969482422,105.5199966430664,103.70999908447266,105.16999816894531,789600,230.7899932861328,230.7899932861328,226.1699981689453,226.7899932861328,33600
2025-06-06,106.20999908447266,106.20999908447266,105.12000274658203,105.62000274658203,394400,226.05999755859375,229.91000366210938,226.05999755859375,229.25999450683594,36600
2025-06-09,105.5199966430664,106.2300033569336,105.1500015258789,105.22000122070312,663900,229.52000427246094,234.07000732421875,228.64999389648438,232.52999877929688,64200
2025-06-10,106.0,108.30999755859375,105.62000274658203,107.93000030517578,837700,233.6300048828125,234.0,228.39999389648438,229.4499969482422,84800
2025-06-11,108.29000091552734,109.4000015258789,108.05999755859375,108.94999694824219,645900,229.39999389648438,233.25999450683594,227.4499969482422,231.3699951171875,141400
2025-06-12,108.97000122070312,110.30999755859375,108.54000091552734,109.9800033569336,587700,231.36000061035156,232.86000061035156,224.94000244140625,226.63999938964844,62000
2025-06-13,108.72000122070312,110.11000061035156,108.16999816894531,108.56999969482422,630700,225.22000122070312,226.3000030517578,218.80999755859375,225.0,69200
2025-06-16,110.4000015258789,112.0,109.80999755859375,111.3499984741211,640500,226.0,228.5,225.0,226.4600067138672,47200
