Ticker,AMD,AMD,AMD,AMD,AMD,AMC,AMC,AMC,AMC,AMC
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,115.0199966430664,115.52999877929688,114.05999755859375,114.73999786376953,37737400,2.9200000762939453,2.9200000762939453,2.8299999237060547,2.9000000953674316,6958700
2025-05-20,114.3499984741211,114.51000213623047,112.08000183105469,113.51000213623047,29030800,2.9000000953674316,3.0299999713897705,2.859999895095825,3.009999990463257,8015200
2025-05-21,113.8499984741211,116.0999984741211,111.08999633789062,112.05999755859375,43594600,2.990000009536743,3.049999952316284,2.9200000762939453,2.930000066757202,9743700
2025-05-22,111.9000015258789,112.63999938964844,110.61000061035156,110.70999908447266,29252000,2.930000066757202,3.2699999809265137,2.880000114440918,3.240000009536743,19260500
2025-05-23,108.08999633789062,111.0199966430664,107.66999816894531,110.30999755859375,30867300,3.140000104904175,3.3399999141693115,3.130000114440918,3.240000009536743,14773100
2025-05-27,113.18000030517578,115.4000015258789,112.2699966430664,114.55999755859375,37885000,3.4700000286102295,4.079999923706055,3.390000104904175,4.010000228881836,67202100
2025-05-28,114.91999816894531,114.94999694824219,112.66000366210938,112.86000061035156,27483700,3.9800000190734863,4.010000228881836,3.450000047683716,3.4600000381469727,33127800
2025-05-29,115.48999786376953,115.54000091552734,112.12999725341797,113.02999877929688,30501400,3.5399999618530273,3.619999885559082,3.3299999237060547,3.4200000762939453,13749000
2025-05-30,111.58000183105469,112.11000061035156,108.62000274658203,110.7300033569336,36088500,3.369999885559082,3.5999999046325684,3.319999933242798,3.559999942779541,15905900
2025-06-02,111.05999755859375,114.86000061035156,111.01000213623047,114.62999725341797,34078400,3.5,3.559999942779541,3.4000000953674316,3.440000057220459,9924200
2025-06-03,114.5,117.68000030517578,113.27999877929688,117.30999755859375,37161500,3.440000057220459,3.4600000381469727,3.319999933242798,3.3299999237060547,9144900
2025-06-04,117.41000366210938,119.30000305175781,115.7300033569336,118.58000183105469,31025000,3.309999942779541,3.440000057220459,3.2300000190734863,3.4000000953674316,10230300
2025-06-05,118.94999694824219,119.23999786376953,114.70999908447266,115.69000244140625,34091000,3.4000000953674316,3.490000009536743,3.3499999046325684,3.4000000953674316,7273400
2025-06-06,117.69000244140625,118.37999725341797,115.87999725341797,116.19000244140625,27042100,3.430000066757202,3.5399999618530273,3.390000104904175,3.4000000953674316,8062000
2025-06-09,119.18000030517578,122.37000274658203,119.04000091552734,121.7300033569336,55437700,3.430000066757202,3.440000057220459,3.319999933242798,3.3499999046325684,7675800
2025-06-10,121.11000061035156,124.08999633789062,120.80000305175781,123.23999786376953,41691900,3.359999895095825,3.380000114440918,3.2899999618530273,3.3399999141693115,7738900
2025-06-11,124.44000244140625,124.47000122070312,119.87999725341797,121.13999938964844,32261900,3.319999933242798,3.380000114440918,3.2799999713897705,3.2899999618530273,7542200
2025-06-12,120.62000274658203,122.25,118.02999877929688,118.5,44718400,3.240000009536743,3.25,3.0899999141693115,3.130000114440918,11061300
2025-06-13,116.05000305175781,117.87999725341797,115.05999755859375,116.16000366210938,39702700,3.0999999046325684,3.2300000190734863,3.0799999237060547,3.1500000953674316,7925100
2025-06-16,118.63999938964844,128.13999938964844,117.77999877929688,126.38999938964844,100502800,3.1600000858306885,3.2300000190734863,3.109999895095825,3.130000114440918,6203300
