Ticker,ANNA,ANNA,ANNA,ANNA,ANNA,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,10.0,10.359999656677246,10.0,10.020000457763672,8900,450.8800048828125,459.5899963378906,450.79998779296875,458.8699951171875,21336500
2025-05-20,9.8100004196167,10.350000381469727,9.8100004196167,10.050000190734863,2200,455.5899963378906,458.3399963378906,454.32000732421875,458.1700134277344,15441800
2025-05-21,9.850000381469727,10.279999732971191,9.850000381469727,10.210000038146973,7500,454.57000732421875,457.7799987792969,451.80999755859375,452.57000732421875,19216900
2025-05-22,10.010000228881836,10.930000305175781,10.0,10.460000038146973,9600,454.95001220703125,460.25,453.8999938964844,454.8599853515625,18025600
2025-05-23,10.149999618530273,10.390000343322754,10.0,10.130000114440918,12000,449.9800109863281,453.69000244140625,448.9100036621094,450.17999267578125,16883500
2025-05-27,10.119999885559082,10.619999885559082,10.119999885559082,10.130000114440918,11100,456.4800109863281,460.95001220703125,456.1199951171875,460.69000244140625,20974300
2025-05-28,10.119999885559082,11.0,9.010000228881836,9.010000228881836,17900,461.2200012207031,462.5199890136719,456.92999267578125,457.3599853515625,17086300
2025-05-29,8.800000190734863,9.880000114440918,8.25,9.039999961853027,9800,461.54998779296875,461.7200012207031,455.30999755859375,458.67999267578125,13974800
2025-05-30,8.949999809265137,11.010000228881836,8.949999809265137,9.359999656677246,7600,459.7200012207031,461.67999267578125,455.5400085449219,460.3599853515625,34770500
2025-06-02,9.399999618530273,9.72700023651123,9.399999618530273,9.699999809265137,2400,457.1400146484375,462.1099853515625,456.8900146484375,461.9700012207031,16626500
2025-06-03,9.710000038146973,9.720000267028809,9.460000038146973,9.460000038146973,3500,461.4700012207031,464.1400146484375,460.8599853515625,462.9700012207031,15743800
2025-06-04,9.579999923706055,9.729999542236328,9.300000190734863,9.449999809265137,2500,464.0,465.69000244140625,463.0199890136719,463.8699951171875,14162700
2025-06-05,9.385000228881836,9.385000228881836,9.114999771118164,9.114999771118164,3000,464.9599914550781,469.6499938964844,464.0299987792969,467.67999267578125,20131700
2025-06-06,9.1899995803833,9.319999694824219,9.09000015258789,9.260000228881836,1800,470.0899963378906,473.3399963378906,468.7799987792969,470.3800048828125,15285600
2025-06-09,9.0600004196167,9.970000267028809,8.84000015258789,8.84000015258789,4900,469.70001220703125,473.42999267578125,468.6199951171875,472.75,16469900
2025-06-10,8.760000228881836,9.241999626159668,8.699999809265137,8.760000228881836,1700,471.19000244140625,472.79998779296875,466.9599914550781,470.9200134277344,15375900
2025-06-11,8.90999984741211,9.069999694824219,8.75,8.8100004196167,2000,470.0199890136719,475.4700012207031,469.6600036621094,472.6199951171875,16399200
2025-06-12,9.420000076293945,9.5,8.789999961853027,8.789999961853027,8800,475.0199890136719,480.4200134277344,473.5199890136719,478.8699951171875,18950600
2025-06-13,10.210000038146973,10.399999618530273,8.880000114440918,8.880000114440918,5600,476.4100036621094,479.17999267578125,472.760009765625,474.9599914550781,16814500
2025-06-16,8.739999771118164,9.482999801635742,7.824999809265137,8.010000228881836,7000,475.2099914550781,480.69000244140625,475.0,479.1400146484375,15626100
