Ticker,ARL,ARL,ARL,ARL,ARL,ARLO,ARLO,ARLO,ARLO,ARLO
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,12.899999618530273,13.390000343322754,12.899999618530273,12.930000305175781,1800,13.420000076293945,13.770000457763672,13.390000343322754,13.630000114440918,571900
2025-05-20,13.539999961853027,13.539999961853027,13.149999618530273,13.319999694824219,1100,13.579999923706055,13.739999771118164,13.449999809265137,13.630000114440918,422100
2025-05-21,13.25,13.640000343322754,13.25,13.640000343322754,3600,13.5,13.869999885559082,13.5,13.640000343322754,687200
2025-05-22,13.329999923706055,13.329999923706055,13.149999618530273,13.260000228881836,1400,13.609999656677246,13.6899995803833,13.529999732971191,13.569999694824219,411100
2025-05-23,13.149999618530273,13.489999771118164,13.149999618530273,13.149999618530273,1600,13.390000343322754,13.470000267028809,13.260000228881836,13.300000190734863,481700
2025-05-27,13.319999694824219,13.8100004196167,13.319999694824219,13.8100004196167,1300,13.529999732971191,13.710000038146973,13.380000114440918,13.710000038146973,593700
2025-05-28,13.729999542236328,13.729999542236328,13.5600004196167,13.5600004196167,1600,13.680000305175781,13.680000305175781,13.399999618530273,13.550000190734863,893700
2025-05-29,13.619999885559082,13.789999961853027,13.569999694824219,13.630000114440918,1400,13.640000343322754,13.84000015258789,13.430000305175781,13.75,737200
2025-05-30,13.739999771118164,14.739999771118164,13.739999771118164,14.270000457763672,5900,13.680000305175781,14.470000267028809,13.569999694824219,14.319999694824219,1930900
2025-06-02,14.4399995803833,14.4399995803833,14.4399995803833,14.4399995803833,1400,14.25,14.5,14.039999961853027,14.460000038146973,1049600
2025-06-03,14.34000015258789,15.489999771118164,14.34000015258789,15.050000190734863,3600,14.470000267028809,14.720000267028809,14.399999618530273,14.65999984741211,573600
2025-06-04,14.869999885559082,14.869999885559082,14.869999885559082,14.869999885559082,900,14.670000076293945,14.779999732971191,14.529999732971191,14.600000381469727,470200
2025-06-05,14.630000114440918,14.630000114440918,14.630000114440918,14.630000114440918,800,15.5,16.290000915527344,14.600000381469727,16.209999084472656,2296900
2025-06-06,14.979999542236328,15.300000190734863,14.979999542236328,15.300000190734863,1700,16.309999465942383,17.260000228881836,16.219999313354492,16.780000686645508,1854400
2025-06-09,15.369999885559082,15.369999885559082,14.65999984741211,14.789999961853027,1600,16.93000030517578,17.3700008392334,16.520000457763672,17.34000015258789,956200
2025-06-10,14.75,14.75,14.260000228881836,14.260000228881836,1600,17.469999313354492,17.59000015258789,17.010000228881836,17.09000015258789,1082100
2025-06-11,14.25,14.350000381469727,14.25,14.260000228881836,2800,17.110000610351562,17.270000457763672,16.799999237060547,17.020000457763672,1294000
2025-06-12,14.0600004196167,14.149999618530273,13.819999694824219,13.930000305175781,1800,16.90999984741211,17.049999237060547,16.68000030517578,16.770000457763672,718800
2025-06-13,13.850000381469727,14.029999732971191,13.850000381469727,13.859999656677246,1000,16.549999237060547,17.1200008392334,16.459999084472656,17.06999969482422,940600
2025-06-16,14.109999656677246,14.4399995803833,14.109999656677246,14.4399995803833,800,17.06999969482422,17.59000015258789,16.8799991607666,17.229999542236328,1382700
