Ticker,AUB,AUB,AUB,AUB,AUB,AU,AU,AU,AU,AU
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,30.0576011231519,30.27505102914851,29.9488752275307,30.19597816467285,841500,41.42212327915585,42.11016390380842,40.89362466811004,42.060306549072266,2996100
2025-05-20,30.087253017046624,30.30470291482397,29.92910729407297,30.018064498901367,658200,42.309597948292186,43.286816574813656,42.189939533827136,43.24692916870117,2199500
2025-05-21,29.93899251400905,29.93899251400905,29.069189126940937,29.108726501464844,756700,43.46630555030896,44.15434617964687,42.887949580588575,43.10732650756836,2332300
2025-05-22,28.505794140266183,29.276755960139404,28.505794140266183,29.0,1161400,42.708466311499684,43.167160090687815,42.05033549283073,42.758323669433594,1716200
2025-05-23,28.110000610351562,29.0,28.110000610351562,28.809999465942383,1165000,44.333837800218355,44.39366891146557,43.75548560698543,43.91503143310547,2420100
2025-05-27,29.34000015258789,30.0,29.0,29.969999313354492,810200,42.738378632917886,43.715597272669065,42.618720216832884,42.97769546508789,2863200
2025-05-28,29.920000076293945,30.170000076293945,29.760000228881836,29.809999465942383,1029500,43.87514402560733,44.14437832041098,43.52613871967992,43.91503143310547,2453500
2025-05-29,30.09000015258789,30.200000762939453,29.75,30.15999984741211,1581500,44.3138919314865,44.513325155361244,43.40647437653515,43.92499923706055,2389500
2025-05-30,30.030000686645508,30.299999237060547,29.790000915527344,30.020000457763672,1445000,42.68000030517578,43.849998474121094,42.619998931884766,43.810001373291016,4360400
2025-06-02,29.860000610351562,29.90999984741211,29.350000381469727,29.670000076293945,1529300,45.540000915527344,47.77000045776367,45.36000061035156,47.41999816894531,4476800
2025-06-03,29.6299991607666,30.450000762939453,29.459999084472656,30.219999313354492,1139200,46.45000076293945,46.689998626708984,45.849998474121094,46.439998626708984,2516200
2025-06-04,30.079999923706055,30.34000015258789,29.65999984741211,29.799999237060547,960600,47.0099983215332,47.150001525878906,46.02000045776367,46.130001068115234,1757900
2025-06-05,29.790000915527344,30.1299991607666,29.440000534057617,29.989999771118164,1147300,47.72999954223633,48.099998474121094,46.11000061035156,47.09000015258789,3393200
2025-06-06,30.5,30.8700008392334,30.139999389648438,30.600000381469727,843000,46.459999084472656,46.84000015258789,45.54999923706055,45.959999084472656,2987800
2025-06-09,30.979999542236328,31.709999084472656,30.829999923706055,31.299999237060547,2022500,45.83000183105469,46.43000030517578,45.720001220703125,46.380001068115234,1856300
2025-06-10,32.20000076293945,32.72999954223633,31.790000915527344,32.2400016784668,2356700,46.779998779296875,46.83000183105469,44.939998626708984,45.11000061035156,2535900
2025-06-11,32.25,32.529998779296875,31.489999771118164,31.739999771118164,2529600,45.130001068115234,45.900001525878906,44.900001525878906,45.869998931884766,2708100
2025-06-12,31.450000762939453,31.639999389648438,31.149999618530273,31.520000457763672,1325000,48.43000030517578,49.150001525878906,47.86000061035156,48.81999969482422,4599200
2025-06-13,30.979999542236328,31.3700008392334,30.690000534057617,30.75,1380000,49.45000076293945,51.11000061035156,49.130001068115234,50.84000015258789,5242900
2025-06-16,31.18000030517578,31.34000015258789,30.360000610351562,30.5,1512900,49.7599983215332,50.36000061035156,49.31999969482422,49.68000030517578,3343800
