Ticker,AVDL,AVDL,AVDL,AVDL,AVDL,AVD,AVD,AVD,AVD,AVD
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,9.09000015258789,9.380000114440918,9.0,9.350000381469727,649300,4.070000171661377,4.320000171661377,4.039999961853027,4.269999980926514,116800
2025-05-20,9.40999984741211,9.479999542236328,9.1899995803833,9.369999885559082,628300,4.289999961853027,4.380000114440918,4.269999980926514,4.369999885559082,119800
2025-05-21,9.300000190734863,9.460000038146973,9.050000190734863,9.149999618530273,857400,4.340000152587891,4.420000076293945,4.230000019073486,4.25,101000
2025-05-22,9.109999656677246,9.239999771118164,8.869999885559082,8.880000114440918,986500,4.239999771118164,4.28000020980835,4.170000076293945,4.260000228881836,91800
2025-05-23,8.770000457763672,9.15999984741211,8.770000457763672,9.130000114440918,819000,4.210000038146973,4.309999942779541,4.130000114440918,4.139999866485596,156100
2025-05-27,9.229999542236328,9.25,8.970000267028809,9.0600004196167,783700,4.210000038146973,4.5,4.179999828338623,4.46999979019165,109400
2025-05-28,9.119999885559082,9.220000267028809,8.989999771118164,9.050000190734863,910900,4.480000019073486,4.519999980926514,4.400000095367432,4.420000076293945,109700
2025-05-29,9.100000381469727,9.3100004196167,9.010000228881836,9.220000267028809,1287200,4.199999809265137,4.46999979019165,4.199999809265137,4.429999828338623,163200
2025-05-30,9.1899995803833,9.199999809265137,8.989999771118164,9.109999656677246,1464600,4.360000133514404,4.989999771118164,4.360000133514404,4.920000076293945,315300
2025-06-02,9.199999809265137,9.510000228881836,9.069999694824219,9.489999771118164,950500,4.889999866485596,4.909999847412109,4.559999942779541,4.610000133514404,289500
2025-06-03,9.539999961853027,9.770000457763672,9.390000343322754,9.430000305175781,1687100,4.579999923706055,4.809999942779541,4.550000190734863,4.650000095367432,254900
2025-06-04,9.470000267028809,9.5600004196167,9.300000190734863,9.3100004196167,1035300,4.670000076293945,4.699999809265137,4.53000020980835,4.659999847412109,92800
2025-06-05,9.619999885559082,9.819999694824219,9.0600004196167,9.4399995803833,1083800,4.699999809265137,4.929999828338623,4.599999904632568,4.860000133514404,148700
2025-06-06,9.510000228881836,9.859999656677246,9.5,9.720000267028809,738700,4.710000038146973,5.0,4.210000038146973,4.940000057220459,538900
2025-06-09,9.979999542236328,10.289999961853027,9.800000190734863,10.069999694824219,3073900,4.840000152587891,4.909999847412109,4.460000038146973,4.460000038146973,375100
2025-06-10,10.109999656677246,10.5,9.930000305175781,10.229999542236328,1335500,4.449999809265137,4.699999809265137,4.400000095367432,4.550000190734863,221900
2025-06-11,10.279999732971191,10.350000381469727,9.829999923706055,9.890000343322754,1161500,4.619999885559082,4.739999771118164,4.559999942779541,4.610000133514404,173400
2025-06-12,9.850000381469727,9.920000076293945,9.279999732971191,9.34000015258789,1524200,4.639999866485596,4.650000095367432,4.46999979019165,4.519999980926514,134100
2025-06-13,9.210000038146973,9.59000015258789,9.170000076293945,9.569999694824219,1459200,4.400000095367432,4.510000228881836,4.170000076293945,4.190000057220459,136900
2025-06-16,9.350000381469727,9.520000457763672,9.100000381469727,9.5,1490000,4.059999942779541,4.320000171661377,3.9200000762939453,3.990000009536743,315200
