Ticker,AVT,AVT,AVT,AVT,AVT,AVR,AVR,AVR,AVR,AVR
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,50.87864327673959,51.127025644374534,50.56071414936798,50.60045623779297,515900,4.050000190734863,4.139999866485596,3.7200000286102295,3.990000009536743,254400
2025-05-20,50.62032756838615,51.23631478240176,50.21298063476087,50.58058547973633,503800,4.0,4.139999866485596,3.809999942779541,3.819999933242798,112600
2025-05-21,50.739547318993836,50.739547318993836,49.636729053287965,49.71621322631836,458700,3.7899999618530273,3.869999885559082,3.5299999713897705,3.559999942779541,166400
2025-05-22,49.64666838612058,50.30239767887441,49.37841497681028,49.84537124633789,559800,3.5199999809265137,3.5799999237060547,3.2200000286102295,3.2300000190734863,122600
2025-05-23,48.941258489830645,49.63672985502399,48.812102391591075,49.398284912109375,452200,3.180000066757202,3.6600000858306885,3.109999895095825,3.640000104904175,191600
2025-05-27,50.10369134865961,50.73954960145016,49.81556689348447,50.610389709472656,469400,3.7200000286102295,4.889999866485596,3.7200000286102295,4.800000190734863,368000
2025-05-28,50.64019508517056,50.75941755280096,49.9844658281825,50.034141540527344,466500,4.800000190734863,5.175000190734863,4.300000190734863,4.739999771118164,310200
2025-05-29,50.39181604411562,50.431554342593905,49.755957788293145,50.33220291137695,493100,4.800000190734863,4.929999828338623,4.360000133514404,4.510000228881836,105600
2025-05-30,49.964595999803294,49.964595999803294,49.2989293101566,49.686405181884766,598100,4.440000057220459,4.5,4.090000152587891,4.239999771118164,156700
2025-06-02,49.567182500222614,49.74601810026063,48.90151960342535,49.43802261352539,547200,4.21999979019165,4.683000087738037,4.052000045776367,4.630000114440918,120300
2025-06-03,49.54731264319322,50.72961511508723,49.36847703887336,50.67000198364258,525300,4.599999904632568,4.599999904632568,4.211999893188477,4.46999979019165,97800
2025-06-04,50.97999954223633,51.310001373291016,50.59000015258789,50.619998931884766,640000,4.400000095367432,4.78000020980835,4.328000068664551,4.739999771118164,66800
2025-06-05,50.81999969482422,50.869998931884766,50.18000030517578,50.540000915527344,399100,4.730000019073486,5.125,4.480000019073486,4.960000038146973,193200
2025-06-06,51.04999923706055,51.380001068115234,50.77000045776367,50.9900016784668,453200,4.960000038146973,5.25,4.699999809265137,4.739999771118164,119700
2025-06-09,51.36000061035156,51.970001220703125,51.150001525878906,51.560001373291016,485700,4.940000057220459,5.559999942779541,4.690000057220459,5.369999885559082,203100
2025-06-10,51.84000015258789,52.22999954223633,51.529998779296875,52.11000061035156,533000,5.369999885559082,5.5,5.190000057220459,5.349999904632568,336200
2025-06-11,52.16999816894531,52.380001068115234,51.470001220703125,51.61000061035156,604100,5.329999923706055,5.739999771118164,5.050000190734863,5.119999885559082,275000
2025-06-12,51.25,51.63999938964844,51.029998779296875,51.529998779296875,466800,5.179999828338623,5.179999828338623,4.789999961853027,4.869999885559082,210400
2025-06-13,50.91999816894531,51.209999084472656,50.31999969482422,50.4900016784668,439700,4.739999771118164,5.079999923706055,4.360000133514404,4.380000114440918,280000
2025-06-16,50.88999938964844,51.61000061035156,50.66999816894531,51.5099983215332,452700,4.400000095367432,4.715000152587891,3.9800000190734863,4.010000228881836,254000
