Ticker,SPY,SPY,SPY,SPY,SPY,IBM,IBM,IBM,IBM,IBM
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,588.0999755859375,595.5399780273438,588.0999755859375,594.8499755859375,68168500,265.45001220703125,269.1400146484375,265.0799865722656,268.4100036621094,3198600
2025-05-20,593.0900268554688,594.0499877929688,589.5999755859375,592.8499755859375,60614500,267.3999938964844,269.2799987792969,265.6199951171875,266.95001220703125,2437900
2025-05-21,588.4400024414062,592.5800170898438,581.8200073242188,582.8599853515625,95197700,264.9700012207031,265.6499938964844,260.4100036621094,260.8699951171875,3753900
2025-05-22,582.6599731445312,586.6199951171875,581.4099731445312,583.0900268554688,70860400,260.7699890136719,261.2699890136719,257.9100036621094,258.3699951171875,3091300
2025-05-23,575.97998046875,581.8099975585938,575.5999755859375,579.1099853515625,76029000,258.5799865722656,259.8699951171875,255.7899932861328,258.6300048828125,2722600
2025-05-27,586.0700073242188,591.3099975585938,578.4299926757812,591.1500244140625,72588500,261.0,263.7900085449219,259.6300048828125,263.2300109863281,3284200
2025-05-28,591.5599975585938,592.77001953125,586.989990234375,587.72998046875,68445500,263.1600036621094,265.0,259.94000244140625,260.239990234375,2318400
2025-05-29,593.0599975585938,593.2000122070312,586.0700073242188,590.0499877929688,69973300,260.75,261.1300048828125,256.7699890136719,258.69000244140625,2295000
2025-05-30,588.9299926757812,591.1300048828125,583.239990234375,589.3900146484375,90601200,258.75,260.1199951171875,257.1000061035156,259.05999755859375,9668900
2025-06-02,587.760009765625,592.7899780273438,585.0599975585938,592.7100219726562,61630500,257.8500061035156,263.9800109863281,257.2200012207031,263.8999938964844,2831900
2025-06-03,592.3400268554688,597.0800170898438,591.8499755859375,596.0900268554688,63606200,263.3500061035156,265.55999755859375,262.5799865722656,265.20001220703125,2494700
2025-06-04,596.9600219726562,597.9500122070312,595.489990234375,595.9299926757812,57314200,264.8999938964844,267.0,264.7900085449219,265.5199890136719,2588600
2025-06-05,597.6300048828125,599.0,591.0499877929688,593.0499877929688,92278700,265.20001220703125,267.510009765625,265.1000061035156,266.8599853515625,2658400
2025-06-06,598.6599731445312,600.8300170898438,596.8599853515625,599.1400146484375,66588700,267.989990234375,270.1700134277344,267.5299987792969,268.8699951171875,2495200
2025-06-09,599.719970703125,601.25,598.489990234375,599.6799926757812,53016400,268.1000061035156,273.4700012207031,266.7099914550781,272.0799865722656,4331500
2025-06-10,600.219970703125,603.469970703125,599.0900268554688,603.0800170898438,66247000,273.19000244140625,277.4700012207031,272.55999755859375,276.239990234375,5163500
2025-06-11,604.1900024414062,605.0599975585938,599.27001953125,601.3599853515625,73658200,276.70001220703125,281.75,275.1099853515625,281.5199890136719,4656000
2025-06-12,600.010009765625,603.75,599.52001953125,603.75,64129000,281.5299987792969,283.05999755859375,279.8299865722656,281.0299987792969,3418000
2025-06-13,598.5,601.8499755859375,595.47998046875,597.0,89506000,278.2099914550781,279.8399963378906,275.8299865722656,277.2200012207031,3243800
2025-06-16,600.4000244140625,604.4500122070312,600.219970703125,602.6799926757812,79133100,279.30999755859375,284.5,278.6700134277344,281.8299865722656,3682300
