Ticker,KO,KO,KO,KO,KO,TSLA,TSLA,TSLA,TSLA,TSLA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,71.52148030856249,71.66049132841037,71.13423424248163,71.42218780517578,13282800,336.29998779296875,343.0,333.3699951171875,342.0899963378906,88869900
2025-05-20,71.29310769243372,71.62077219322597,70.92571709999108,71.18388366699219,12137800,347.8699951171875,354.989990234375,341.6300048828125,343.82000732421875,131715500
2025-05-21,71.1838840595006,71.57113012437136,71.0746600334568,71.3427505493164,12094400,344.42999267578125,347.3500061035156,332.20001220703125,334.6199951171875,102354800
2025-05-22,71.33281907458824,71.48176161706982,70.45903444117937,70.63776397705078,11101800,331.8999938964844,347.2699890136719,331.3900146484375,341.0400085449219,97113400
2025-05-23,71.0349412946497,71.4718373974566,70.19094365784468,71.26331329345703,12822100,337.9200134277344,343.17999267578125,333.2099914550781,339.3399963378906,84654800
2025-05-27,71.23352824783808,71.71014287988916,71.0547987077605,71.27324676513672,10666100,347.3500061035156,363.7900085449219,347.32000732421875,362.8900146484375,120146400
2025-05-28,71.19381001885002,71.39240260614744,70.54840494284807,70.64769744873047,8710900,364.8399963378906,365.0,355.9100036621094,356.8999938964844,91404300
2025-05-29,70.49875196591115,71.15409611339906,69.96256336583893,70.98529052734375,10291100,365.2900085449219,367.7099914550781,356.0,358.42999267578125,88545700
2025-05-30,71.10444957380456,71.95837876680815,71.10444957380456,71.59098815917969,28019500,355.5199890136719,363.67999267578125,345.2900085449219,346.4599914550781,123474900
2025-06-02,71.5214785820992,71.53141010485787,70.85621049238155,71.49169158935547,10202700,343.5,348.0199890136719,333.3299865722656,342.69000244140625,81873800
2025-06-03,71.20374350558913,71.27324901917675,69.97249973252315,70.65763092041016,20139800,346.6000061035156,355.3999938964844,343.0400085449219,344.2699890136719,99324500
2025-06-04,70.75691824880333,71.34274930964742,70.18101113522177,70.86614227294922,13565900,345.1000061035156,345.6000061035156,327.3299865722656,332.04998779296875,98912100
2025-06-05,70.87606884171126,70.95550587594319,70.32995627631495,70.40939331054688,13531400,322.489990234375,324.54998779296875,273.2099914550781,284.70001220703125,287499800
2025-06-06,70.57819243366227,70.97537003551913,70.43918140934227,70.84628295898438,9524000,298.8299865722656,305.5,291.1400146484375,295.1400146484375,164747700
2025-06-09,70.84628023652265,71.3228948555422,70.58811366890654,71.26331329345703,12281300,285.9599914550781,309.8299865722656,281.8500061035156,308.5799865722656,140908900
2025-06-10,71.39239810359122,72.17682172899586,71.25338708901643,71.83921813964844,12265000,314.94000244140625,327.8299865722656,310.6700134277344,326.0899963378906,151256500
2025-06-11,71.75978037073057,71.84914892234093,71.25338635522264,71.56119537353516,12718500,334.3999938964844,335.5,322.5,326.42999267578125,122611400
2025-06-12,71.73992725038366,71.88886979092345,71.09451462506614,71.72999572753906,12806900,323.0799865722656,332.55999755859375,316.8599853515625,319.1099853515625,105127500
2025-06-13,71.7699966430664,71.87999725341797,70.7300033569336,71.0199966430664,17467200,313.9700012207031,332.989990234375,313.29998779296875,325.30999755859375,128964300
2025-06-16,71.19999694824219,71.62000274658203,70.23999786376953,70.5199966430664,15039800,331.2900085449219,332.04998779296875,326.4100036621094,329.1300048828125,82965200
