Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,MSFT,TSLA,MSFT,TSLA,MSFT,TSLA,MSFT,TSLA,MSFT,TSLA
Date,,,,,,,,,,
2025-05-19,458.8699951171875,342.0899963378906,459.5899963378906,343.0,450.79998779296875,333.3699951171875,450.8800048828125,336.29998779296875,21336500,88869900
2025-05-20,458.1700134277344,343.82000732421875,458.3399963378906,354.989990234375,454.32000732421875,341.6300048828125,455.5899963378906,347.8699951171875,15441800,131715500
2025-05-21,452.57000732421875,334.6199951171875,457.7799987792969,347.3500061035156,451.80999755859375,332.20001220703125,454.57000732421875,344.42999267578125,19216900,102354800
2025-05-22,454.8599853515625,341.0400085449219,460.25,347.2699890136719,453.8999938964844,331.3900146484375,454.95001220703125,331.8999938964844,18025600,97113400
2025-05-23,450.17999267578125,339.3399963378906,453.69000244140625,343.17999267578125,448.9100036621094,333.2099914550781,449.9800109863281,337.9200134277344,16883500,84654800
2025-05-27,460.69000244140625,362.8900146484375,460.95001220703125,363.7900085449219,456.1199951171875,347.32000732421875,456.4800109863281,347.3500061035156,20974300,120146400
2025-05-28,457.3599853515625,356.8999938964844,462.5199890136719,365.0,456.92999267578125,355.9100036621094,461.2200012207031,364.8399963378906,17086300,91404300
2025-05-29,458.67999267578125,358.42999267578125,461.7200012207031,367.7099914550781,455.30999755859375,356.0,461.54998779296875,365.2900085449219,13974800,88545700
2025-05-30,460.3599853515625,346.4599914550781,461.67999267578125,363.67999267578125,455.5400085449219,345.2900085449219,459.7200012207031,355.5199890136719,34770500,123474900
2025-06-02,461.9700012207031,342.69000244140625,462.1099853515625,348.0199890136719,456.8900146484375,333.3299865722656,457.1400146484375,343.5,16626500,81873800
2025-06-03,462.9700012207031,344.2699890136719,464.1400146484375,355.3999938964844,460.8599853515625,343.0400085449219,461.4700012207031,346.6000061035156,15743800,99324500
2025-06-04,463.8699951171875,332.04998779296875,465.69000244140625,345.6000061035156,463.0199890136719,327.3299865722656,464.0,345.1000061035156,14162700,98912100
2025-06-05,467.67999267578125,284.70001220703125,469.6499938964844,324.54998779296875,464.0299987792969,273.2099914550781,464.9599914550781,322.489990234375,20131700,287499800
2025-06-06,470.3800048828125,295.1400146484375,473.3399963378906,305.5,468.7799987792969,291.1400146484375,470.0899963378906,298.8299865722656,15285600,164747700
2025-06-09,472.75,308.5799865722656,473.42999267578125,309.8299865722656,468.6199951171875,281.8500061035156,469.70001220703125,285.9599914550781,16469900,140908900
2025-06-10,470.9200134277344,326.0899963378906,472.79998779296875,327.8299865722656,466.9599914550781,310.6700134277344,471.19000244140625,314.94000244140625,15375900,151256500
2025-06-11,472.6199951171875,326.42999267578125,475.4700012207031,335.5,469.6600036621094,322.5,470.0199890136719,334.3999938964844,16399200,122611400
2025-06-12,478.8699951171875,319.1099853515625,480.4200134277344,332.55999755859375,473.5199890136719,316.8599853515625,475.0199890136719,323.0799865722656,18950600,105127500
2025-06-13,474.9599914550781,325.30999755859375,479.17999267578125,332.989990234375,472.760009765625,313.29998779296875,476.4100036621094,313.9700012207031,16806900,128495300
2025-06-16,479.1400146484375,329.1300048828125,480.6943054199219,332.04998779296875,475.0,326.4100036621094,475.2650146484375,331.17999267578125,15497636,82528502
